Year_local,DOY,daytime,FC,LE,TA,RECO,GPP,SWC,TS
2022,176.7082,1,-11.70348,250.861,25.0716,10.296947639262996,22.000427639262995,18.345898,17.8
2022,176.729,1,0.9253700000000004,64.35326666666667,24.8187,10.222531180005552,9.297161180005553,18.33814,17.8
2022,176.7498,1,-8.48838,188.4046,24.8026,10.210520616812866,18.698900616812864,18.345898,17.8
2022,176.7707,1,7.31813,39.36055,24.7355,10.185101461670204,2.866971461670204,18.342019,17.8
2022,176.7915,1,-1.311763333,148.2489,24.8934,10.218841573638253,11.530604906971584,18.357535,17.8
2022,176.8123,1,10.26831,26.82211333333333,24.5978,10.133415581987792,-0.134894418,18.357535,17.8
2022,176.8332,1,2.833517,89.0228,24.3391,10.057747127317832,7.224230127317831,18.376929999999998,17.8
2022,176.854,0,10.41811,26.118446666666667,24.3316,10.048101518400372,-0.370008482,18.361414,17.8
2022,176.8748,0,10.611565652173914,46.57935652173913,26.3629,10.571876759391218,-0.039688893,18.357535,17.83
2022,176.8956,0,10.338921666666666,30.87826666666667,25.9247,10.449482146136924,0.1105604794702568,18.357535,17.9
2022,176.9165,0,11.426178571428572,30.587238095238096,25.2058,10.253789737234309,-1.172388834,18.357535,17.93
2022,176.9373,0,12.27133,28.9044,25.4323,10.305070271872369,-1.966259728,18.357535,18
2022,176.9581,0,11.466308636363635,24.30976227272728,23.2056,9.714914286189494,-1.75139435,18.369172,18.01
2022,176.979,0,10.3340425,16.90108,23.2792,9.726741045946568,-0.607301454,18.376929999999998,18.1
2022,177,0,3.92127,19.7256125,23.0732,9.665359585286796,5.744089585286796,18.392446,18.1
2022,177.0208,0,9.1819475,12.06291,22.935,9.621781301,0.4398338008411695,18.388567000000002,18.14
2022,177.0416,0,10.916985454545454,23.66178045454545,23.1632,9.674036777062556,-1.242948677,18.396325,18.2
2022,177.0624,0,9.213733333333334,8.436246666666666,23.1166,9.654426422096938,0.440693089,18.407962,18.2
2022,177.0833,0,9.725807,21.919436,23.0391,9.626769129,-0.099037871,18.396325,18.2
2022,177.1041,0,9.213733333333334,8.436246666666666,22.7003,9.53096823,0.3172348964944262,18.400204000000002,18.2
2022,177.1249,0,9.836072857142858,20.98313380952381,22.1621,9.383220328023544,-0.452852529,18.435115,18.3
2022,177.1458,0,8.7674,9.92621,21.7333,9.264123340364064,0.4967233403640634,18.438994,18.3
2022,177.1666,0,9.626217222222223,22.46073833333333,21.0536,9.079669849,-0.546547373,18.450631,18.3
2022,177.1874,0,15.475842857142858,8.687088571428571,20.5388,8.938383346638114,-6.537459511,18.462268,18.3
2022,177.2083,1,9.811245238,25.06645333333333,20.1878,8.839958874288875,-0.971286364,18.470026,18.3
2022,177.2291,1,-1.43942,27.72415,20.1434,8.821548854964044,10.260968854964045,18.470026,18.3
2022,177.2499,1,6.6733918333333335,37.785542,20.2081,8.831561273289838,2.158169439956504,18.489421,18.3
2022,177.2707,1,-10.552404,27.40395,20.7515,8.966047738662676,19.51845173866268,18.481663,18.3
2022,177.2916,1,-0.15668,75.0081,21.2911,9.099255209691869,9.25593521,18.462268,18.3
2022,177.3124,1,10.19094,20.116485,22.2271,9.334911258,-0.856028742,18.520453,18.3
2022,177.3332,1,-8.4964125,146.05695,22.8125,9.479171747728108,17.975584247728108,18.501058,18.3
2022,177.3541,1,-8.056555,113.29715,22.9141,9.498061724950627,17.554616724950627,18.504936999999998,18.3
2022,177.3749,1,-10.19110857,168.11594285714287,23.0902,9.536140187,19.72724875815981,18.53209,18.3
